ident	name	type	frequency_khz	latitude_deg	longitude_deg
AMV	Ambato	VOR-DME	112700	-1.285889983	-78.5463028
AN	Ann	NDB	385	19.77029991	94.04019928
AN	Anuradhapura	NDB	415	8.303609848	80.42970276
AN	Hiva Oa	NDB	294	-9.752220154	-139.0010071
AN	Abidjan	NDB	306	5.349080086	-3.89041996
AN	Aguni	NDB	268	26.59370041	127.2360001
AN	Kuching	NDB	402	1.718309999	110.3089981
AN	Anapa	NDB	443	44.96829987	37.30500031
AN	Belgorod	NDB	718	50.66500092	36.52669907
AN	Arvidsjaur	NDB	381	65.6339035	19.14299965
AN	Alamo	NDB	368	29.60490036	-98.5714035
AN	Bogga	NDB	211	33.53440094	-85.93080139
AN	Boing	NDB	245	32.73989868	-117.2160034
AN	Andizhan	NDB	422	40.69829941	72.25
ANA	Santa Ana	NDB	345	-13.76299953	-65.43229675
ANA	Contamana	NDB	380	-7.34528017	-75.00530243
ANB	Annaba	VOR-DME	113500	36.81669998	7.800000191
ANB	Annaba	NDB	366	36.81809998	7.802499771
ANC	Ancona	VOR-DME	110650	43.58639908	13.47109985
ANC	Anchorage	VOR-DME	114300	61.1507988	-150.2070007
ANC	Ancona	NDB	375	43.58670044	13.47220039
AND	Andong	VOR-DME	114800	30.25329971	121.2180023
AND	Andoya	VOR-DME	112200	69.28780365	16.14139938
AND	Andahuaylas	VOR-DME	114300	-13.71420002	-73.37779999
AND	Andranik	NDB	122	39.83029938	44.99250031
AND	Andahuaylas	NDB	290	-13.70969963	-73.34999847
AND	Anderson	NDB	230	34.49810028	-82.70850372
ANE	Arlanda	DME	113300	59.69400024	18.05990028
ANG	Angers	VOR	113000	47.53689957	-0.8518329859
ANG	Wallblake	NDB	209	18.2052002	-63.09260178
ANI	Aniak	NDB	359	61.59019852	-159.5980072
ANK	Anarak	VOR-DME	112700	33.53749847	53.72969818
ANK	Ankara	NDB-DME	356	39.9530983	32.8280983
ANL	Nea Anchialos	TACAN	115600	39.21390152	22.74419975
ANN	Annette Island	VOR-DME	117100	55.0603981	-131.5780029
ANP	Anapolis	VOR-DME	115400	-16.26070023	-48.99200058
ANP	Anapolis	NDB	415	-16.31739998	-49.04029846
ANQ	Angola	NDB	347	41.63980103	-85.0868988
ANR	Andrews	NDB	245	32.34859848	-102.5360031
ANS	Ansbach	NDB	452	49.30970001	10.6328001
ANT	Antwerpen	VOR-DME	113500	51.19060135	4.472499847
ANT	Antoni	VOR-DME	113700	60.86299896	25.12680054
ANT	Antalya	DME	109100	36.87559891	30.78919983
ANU	V C Bird	VOR-DME	114500	17.12590027	-61.80020142
ANU	V C Bird	NDB	351	17.12739944	-61.80820084
ANV	Anvik	NDB-DME	365	62.64139938	-160.1900024
ANW	Ainsworth	VOR-DME	112700	42.56909943	-99.98970032
ANW	Arlanda	DME	112050	59.7132988	17.8526001
ANX	Napoleon	VORTAC	114000	39.09540176	-94.12879944
ANY	Anthony	VORTAC	112900	37.15890121	-98.17070007
ANY	Achmad Yani	VOR-DME	115200	-6.974720001	110.3799973
AO	Hao	NDB	370	-18.06329918	-140.9620056
AO	Opera	NDB	282	47.08169937	20.21170044
AO	Kano	NDB	376	12.05869961	8.541740417
AOC	Arco	NDB	200	43.59899902	-113.3420029
AOG	Rota	TACAN	108600	36.64789963	-6.349060059
AOG	Rota	NDB	268	36.64210129	-6.316810131
AOH	Allen Co	VOR	108400	40.70709991	-83.96820068
AOO	Altoona	VOR	108800	40.32540131	-78.30370331
AOP	Antelope	NDB	290	41.60419846	-109.0019989
